pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key,tier,oa_status,oa_pdf_url,publisher
42552825,10.1111/petr.70422,2026,post,Pediatric transplantation,Journal Article,"Functional, Volumetric, and Growth Outcomes After Pediatric Bilateral Lung Transplantation.",Kim YT,South Korea,1,False,,kim yt|south korea,unresolved,,,
42544909,10.1080/07853890.2026.2705636,2026,post,Annals of medicine,Journal Article,Importance of psychiatric evaluation and long-term outcomes of delirium in lung transplant recipients.,Park MS,South Korea,1,False,,park ms|south korea,OA,gold,https://doi.org/10.1080/07853890.2026.2705636,Informa UK Limited
42521131,10.1016/j.healun.2026.07.029,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Global Approaches to Chronic Lung Allograft Dysfunction: Toward Evidence-Based Harmonization.,Vos R,Belgium,1,False,,vos r|belgium,Elsevier,closed,,Elsevier BV
42521129,10.1016/j.healun.2026.07.031,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Cytotoxic CD8+ T Cells Persist and Show Transcriptional Priming in Lung Transplantation.,Hayes D,United States,1,False,,hayes d|united states,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)02009-7/pdf,Elsevier BV
42499651,10.1016/j.jhlto.2026.100615,2026,post,JHLT open,Journal Article,Outcomes of lung transplantation using TorEx ex-vivo lung perfusion.,Cypel M,Canada,2,True,,cypel m|canada,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00136-9/pdf,Elsevier BV
42486391,10.1016/j.ajt.2026.07.018,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,"CMV Infection after Lung Transplant: incidence, risk factors and management in a multi-center cohort.",Kumar D,Canada,2,True,registry,kumar d|canada,Elsevier,closed,,Elsevier BV
42456799,10.1016/j.jtcvs.2026.07.002,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Outcomes and treatment of early detectable donor-specific anti-HLA antibodies after lung transplantation: insights from a 12-year experience.,Ius F,Germany,1,False,,ius f|germany,OA,hybrid,https://www.jtcvs.org/article/S0022-5223(26)01148-7/pdf,Elsevier BV
42448497,10.1016/j.transproceed.2026.06.027,2026,post,Transplantation proceedings,Journal Article,Surgical Site Infection in Lung Transplantation: Clinical Impact and Predictive Factors: Analysis From the Portuguese Lung Transplantation Center.,Semedo L,,0,False,,semedo l|,OA,hybrid,https://www.sciencedirect.com/science/article/pii/S0041134526003210/pdf,Elsevier BV
42448009,10.1016/j.healun.2026.07.001,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Dynamic contrast-enhanced MRI quantifies microvascular changes in lung transplant recipients with chronic lung allograft dysfunction.,Montesi SB,,0,False,,montesi sb|,Elsevier,closed,,Elsevier BV
42444974,10.21037/jtd-2026-1-0260,2026,post,Journal of thoracic disease,Journal Article,Dangerous liaisons: the peri-transplant respiratory microbiota and their impact on lung transplantation outcomes.,Obermeier KT,Germany,1,True,registry,obermeier kt|germany,OA,gold,https://doi.org/10.21037/jtd-2026-1-0260,AME Publishing Company
42442626,10.1016/j.healun.2026.07.009,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Mapping the mTOR pathway in lung transplantation: Is it time for a biomarker-driven precision therapy?,Calabrese F,Italy,3,True,registry,calabrese f|italy,OA,hybrid,https://doi.org/10.1016/j.healun.2026.07.009,Elsevier BV
