pmid,concept,label
15636621,acr,ACR burden
15636621,hla_mismatch,HLA mismatch
15699755,acr,ACR burden
15699755,cmv_dr,CMV D/R serostatus
15699755,hla_mismatch,HLA mismatch
15699755,ischemic_time,Ischemic time
15797750,age,Age
15896756,cmv_dr,CMV D/R serostatus
15896756,hla_mismatch,HLA mismatch
15996255,cmv_dr,CMV D/R serostatus
15996255,hla_mismatch,HLA mismatch
16303014,acr,ACR burden
16303014,indication_mix,Indication / diagnosis mix
16340783,cmv_dr,CMV D/R serostatus
16340783,hla_mismatch,HLA mismatch
16368382,age,Age
16368382,indication_mix,Indication / diagnosis mix
16368382,induction,Induction regimen
16368382,sex,Sex / gender
16407509,age,Age
16407509,cmv_dr,CMV D/R serostatus
16407509,comorbidity,Comorbidity
16407509,hla_mismatch,HLA mismatch
16407509,indication_mix,Indication / diagnosis mix
16407509,ischemic_time,Ischemic time
16407509,maintenance_is,Maintenance IS
16407509,procedure,Single vs bilateral
16407509,sex,Sex / gender
16433773,acr,ACR burden
16433773,age,Age
16433773,indication_mix,Indication / diagnosis mix
16433773,procedure,Single vs bilateral
16433773,sex,Sex / gender
16570009,age,Age
16570009,procedure,Single vs bilateral
16570009,sex,Sex / gender
17158279,acr,ACR burden
17158279,pgd,PGD grade
17217435,procedure,Single vs bilateral
17318076,cmv_events,CMV infection/disease events
17318076,phenotyping,Phenotyping (BOS/RAS/mixed)
17767432,age,Age
17767432,sex,Sex / gender
17976973,baseline_fev1,Baseline FEV1 method
18022078,baseline_fev1,Baseline FEV1 method
18022078,sex,Sex / gender
18192909,baseline_fev1,Baseline FEV1 method
18192909,colonization,Pseudomonas/Aspergillus colonization
18192909,gerd,GERD / aspiration
18192909,indication_mix,Indication / diagnosis mix
18192909,maintenance_is,Maintenance IS
18192909,phenotyping,Phenotyping (BOS/RAS/mixed)
18263803,acr,ACR burden
18263803,era,Era / accrual window
18263803,ischemic_time,Ischemic time
18329476,age,Age
18329476,cmv_dr,CMV D/R serostatus
18329476,indication_mix,Indication / diagnosis mix
18329476,induction,Induction regimen
18503962,age,Age
18503962,bmi,Body mass index
18503962,indication_mix,Indication / diagnosis mix
18503962,sex,Sex / gender
18785961,acr,ACR burden
18785961,pgd,PGD grade
19104434,hla_mismatch,HLA mismatch
19117741,colonization,Pseudomonas/Aspergillus colonization
19134524,acr,ACR burden
19134524,era,Era / accrual window
19134524,indication_mix,Indication / diagnosis mix
19134524,race_ethnicity,Race / ethnicity
19201342,acr,ACR burden
19201342,colonization,Pseudomonas/Aspergillus colonization
19295317,acr,ACR burden
19295317,age,Age
19295317,colonization,Pseudomonas/Aspergillus colonization
19303808,acr,ACR burden
19416775,acr,ACR burden
19453645,acr,ACR burden
19453645,age,Age
19453645,cmv_events,CMV infection/disease events
19453645,procedure,Single vs bilateral
19453645,sex,Sex / gender
19459819,acr,ACR burden
19459819,colonization,Pseudomonas/Aspergillus colonization
19461490,acr,ACR burden
19584692,age,Age
19584692,baseline_fev1,Baseline FEV1 method
19584692,indication_mix,Indication / diagnosis mix
19584692,procedure,Single vs bilateral
19584692,sex,Sex / gender
19632576,acr,ACR burden
19659672,acr,ACR burden
19659672,cmv_events,CMV infection/disease events
19659672,indication_mix,Indication / diagnosis mix
19659672,ischemic_time,Ischemic time
19659672,phenotyping,Phenotyping (BOS/RAS/mixed)
19659672,procedure,Single vs bilateral
19716037,acr,ACR burden
19716040,baseline_fev1,Baseline FEV1 method
19716040,sex,Sex / gender
20013099,gerd,GERD / aspiration
20167845,acr,ACR burden
20167845,cmv_dr,CMV D/R serostatus
20167845,procedure,Single vs bilateral
20230541,acr,ACR burden
20230541,procedure,Single vs bilateral
20417777,age,Age
20417777,hla_mismatch,HLA mismatch
20562124,acr,ACR burden
20562124,age,Age
20562124,cmv_dr,CMV D/R serostatus
20562124,procedure,Single vs bilateral
20562124,sex,Sex / gender
20619683,cmv_dr,CMV D/R serostatus
20619683,pgd,PGD grade
20868794,acr,ACR burden
20868794,pgd,PGD grade
20868794,resp_viral,Respiratory viral infections
21078427,acr,ACR burden
21169468,acr,ACR burden
21169468,cmv_dr,CMV D/R serostatus
21169468,indication_mix,Indication / diagnosis mix
21169468,procedure,Single vs bilateral
21169468,sex,Sex / gender
21232966,age,Age
21232966,ischemic_time,Ischemic time
21272237,baseline_fev1,Baseline FEV1 method
21320711,age,Age
21320711,indication_mix,Indication / diagnosis mix
21352378,acr,ACR burden
21352378,era,Era / accrual window
21352378,induction,Induction regimen
21420318,age,Age
21420318,indication_mix,Indication / diagnosis mix
21420318,ischemic_time,Ischemic time
21420318,procedure,Single vs bilateral
21429899,acr,ACR burden
21429899,age,Age
21429899,cmv_dr,CMV D/R serostatus
21429899,cmv_events,CMV infection/disease events
21429899,procedure,Single vs bilateral
21429899,sex,Sex / gender
21482148,acr,ACR burden
21482148,procedure,Single vs bilateral
21716170,phenotyping,Phenotyping (BOS/RAS/mixed)
21794087,acr,ACR burden
21794087,cmv_dr,CMV D/R serostatus
21794087,indication_mix,Indication / diagnosis mix
21794087,procedure,Single vs bilateral
21799025,acr,ACR burden
21817195,age,Age
22051280,age,Age
22051280,hla_mismatch,HLA mismatch
22051280,indication_mix,Indication / diagnosis mix
22051280,ischemic_time,Ischemic time
22051280,procedure,Single vs bilateral
22051280,sex,Sex / gender
22123337,acr,ACR burden
22151926,age,Age
22151926,indication_mix,Indication / diagnosis mix
22151926,sex,Sex / gender
22188413,acr,ACR burden
22188413,hla_mismatch,HLA mismatch
22188413,phenotyping,Phenotyping (BOS/RAS/mixed)
22330935,acr,ACR burden
22330935,age,Age
22330935,cmv_dr,CMV D/R serostatus
22330935,indication_mix,Indication / diagnosis mix
22330935,procedure,Single vs bilateral
22330935,sex,Sex / gender
22554673,indication_mix,Indication / diagnosis mix
22554673,maintenance_is,Maintenance IS
22568593,acr,ACR burden
22568593,nonhla_ab,Non-HLA antibodies
22568593,pgd,PGD grade
22568593,resp_viral,Respiratory viral infections
22724524,age,Age
22902791,acr,ACR burden
22902791,age,Age
22902791,indication_mix,Indication / diagnosis mix
22922656,acr,ACR burden
22922656,cmv_dr,CMV D/R serostatus
23239157,age,Age
23239157,cmv_dr,CMV D/R serostatus
23239157,indication_mix,Indication / diagnosis mix
23239157,procedure,Single vs bilateral
23239157,sex,Sex / gender
23260704,acr,ACR burden
23260704,procedure,Single vs bilateral
23328523,colonization,Pseudomonas/Aspergillus colonization
23328531,acr,ACR burden
23328531,colonization,Pseudomonas/Aspergillus colonization
23328795,de_novo_dsa,De novo DSA
23328795,era,Era / accrual window
23328795,pgd,PGD grade
23328795,pre_tx_dsa,Pre-tx DSA / cPRA
23331756,acr,ACR burden
23331756,baseline_fev1,Baseline FEV1 method
23331756,indication_mix,Indication / diagnosis mix
23331756,pgd,PGD grade
23331756,procedure,Single vs bilateral
23398785,acr,ACR burden
23398785,age,Age
23398785,cmv_dr,CMV D/R serostatus
23398785,colonization,Pseudomonas/Aspergillus colonization
23398785,procedure,Single vs bilateral
23536885,acr,ACR burden
23536885,cmv_events,CMV infection/disease events
23536885,de_novo_dsa,De novo DSA
23536885,gerd,GERD / aspiration
23536885,pgd,PGD grade
23545509,bmi,Body mass index
23545509,comorbidity,Comorbidity
23545509,sex,Sex / gender
23628225,acr,ACR burden
23628225,colonization,Pseudomonas/Aspergillus colonization
23715594,acr,ACR burden
23715594,age,Age
23715594,cmv_dr,CMV D/R serostatus
23715594,cmv_events,CMV infection/disease events
23715594,era,Era / accrual window
23715594,procedure,Single vs bilateral
23715594,sex,Sex / gender
23841811,age,Age
23841811,cmv_dr,CMV D/R serostatus
23841811,procedure,Single vs bilateral
24063316,acr,ACR burden
24063316,procedure,Single vs bilateral
24157472,age,Age
24157472,indication_mix,Indication / diagnosis mix
24157472,sex,Sex / gender
24164971,acr,ACR burden
24164971,age,Age
24164971,cmv_dr,CMV D/R serostatus
24164971,indication_mix,Indication / diagnosis mix
24164971,sex,Sex / gender
24263024,age,Age
24263024,azithromycin,Azithromycin
24263024,indication_mix,Indication / diagnosis mix
24263024,sex,Sex / gender
24512389,age,Age
24512389,cmv_dr,CMV D/R serostatus
24512389,procedure,Single vs bilateral
24512389,sex,Sex / gender
24621537,acr,ACR burden
24621537,age,Age
24621537,azithromycin,Azithromycin
24621537,procedure,Single vs bilateral
24621537,sex,Sex / gender
24685381,acr,ACR burden
24685381,colonization,Pseudomonas/Aspergillus colonization
24685381,pgd,PGD grade
24802006,acr,ACR burden
24802006,age,Age
24802006,azithromycin,Azithromycin
24802006,indication_mix,Indication / diagnosis mix
24802006,sex,Sex / gender
25130554,age,Age
25130554,de_novo_dsa,De novo DSA
25130554,indication_mix,Indication / diagnosis mix
25130554,maintenance_is,Maintenance IS
25130554,sex,Sex / gender
25266074,age,Age
25266074,comorbidity,Comorbidity
25266074,donor_type,Donor type DBD/DCD
25266074,procedure,Single vs bilateral
25266074,sex,Sex / gender
25358842,age,Age
25358842,era,Era / accrual window
25358842,indication_mix,Indication / diagnosis mix
25358842,sex,Sex / gender
25479016,age,Age
25479016,comorbidity,Comorbidity
25479016,ischemic_time,Ischemic time
