pmid,reason,note
41561943,not_lung_transplant,BOS after allogeneic haematopoietic cell transplantation in children
37726865,not_lung_transplant,Mesenchymal stromal cells for paediatric BOS after allo-HSCT
37289498,not_lung_transplant,Nasal cytokine signature in lung GVHD after allogeneic HCT
36309588,not_lung_transplant,Interstitial lung disease after HSCT as lung chronic GVHD
35522969,not_lung_transplant,ISHLT CLAD criteria applied to pulmonary chronic GVHD after allo-HCT
34126278,not_lung_transplant,Plasma MMP-9 for BOS after allogeneic HCT
32369682,not_lung_transplant,Long-term pulmonary function in paediatric BOS after HSCT
31821885,not_lung_transplant,Early post-transplant spirometry and BOS after allo-HCT
28787506,not_lung_transplant,ALLOZITHRO randomised trial of azithromycin after allo-HSCT
25687798,not_lung_transplant,BOS stage 0p in chronic GVHD of the lung after HSCT
32195326,protocol_no_results,"Design paper for INSPIRE-III; reports the trial design, no results"
33397442,protocol_no_results,"Trials protocol paper for alemtuzumab + low-dose everolimus; no results"
37855706,protocol_no_results,"JMIR Res Protoc design and rationale for GLUSorb; no results"
