pmid,stratum
30617600,mechanistic_translational
27062199,mechanistic_translational
22244946,case_report_series
21276737,mechanistic_translational
19295317,clinical_cohort
20691611,mechanistic_translational
27664940,trial
40606296,mechanistic_translational
39448000,clinical_cohort
34272887,methods_or_review
30506808,clinical_cohort
37887076,clinical_cohort
42144087,methods_or_review
20888787,clinical_cohort
40232854,mechanistic_translational
23205765,mechanistic_translational
40143912,clinical_cohort
19134533,case_report_series
27104933,trial
41032890,registry
31301968,clinical_cohort
25777057,clinical_cohort
40294109,trial
32279657,mechanistic_translational
28546378,methods_or_review
37704161,methods_or_review
37070996,clinical_cohort
20632031,mechanistic_translational
18765192,clinical_cohort
15863637,clinical_cohort
34344623,mechanistic_translational
25819270,methods_or_review
16720207,mechanistic_translational
38241956,clinical_cohort
34587371,trial
23721028,clinical_cohort
31122726,mechanistic_translational
33550369,mechanistic_translational
38792624,clinical_cohort
31900671,methods_or_review
35224623,registry
23664760,registry
37454870,clinical_cohort
26425619,case_report_series
16102441,mechanistic_translational
26339864,clinical_cohort
41669771,clinical_cohort
41514232,clinical_cohort
37295720,mechanistic_translational
16162195,mechanistic_translational
28038697,case_report_series
38044496,clinical_cohort
28148598,mechanistic_translational
40437291,clinical_cohort
39441494,clinical_cohort
19207186,clinical_cohort
30303408,methods_or_review
39524044,mechanistic_translational
17198242,mechanistic_translational
34030202,methods_or_review
36639317,clinical_cohort
41510176,clinical_cohort
21414808,mechanistic_translational
21163500,mechanistic_translational
20347338,mechanistic_translational
18764833,methods_or_review
42044158,mechanistic_translational
17258592,clinical_cohort
35146849,mechanistic_translational
24063316,mechanistic_translational
17620461,methods_or_review
17919621,trial
17393239,clinical_cohort
41630968,registry
18047937,mechanistic_translational
36049964,registry
26261607,mechanistic_translational
20727564,clinical_cohort
37713011,case_report_series
41857706,clinical_cohort
27469016,registry
37937643,mechanistic_translational
17178336,mechanistic_translational
28017335,registry
36189800,mechanistic_translational
37703908,trial
40669521,mechanistic_translational
38230743,clinical_cohort
18442722,trial
35642887,case_report_series
26452996,trial
41217841,mechanistic_translational
27737799,mechanistic_translational
19580368,trial
33317956,mechanistic_translational
37866469,registry
28296181,clinical_cohort
27347307,mechanistic_translational
36004231,methods_or_review
19912172,methods_or_review
