pmid,study_type_llm,evaluates_intervention_llm,clinical_llm,study_design_llm
30617600,mechanistic_translational,yes,no,other
27062199,mechanistic_translational,no,no,other
22244946,case_report_series,yes,yes,other
21276737,mechanistic_translational,no,yes,retrospective_cohort
19295317,clinical_cohort,no,yes,prospective_cohort
20691611,mechanistic_translational,no,yes,other
27664940,trial,yes,yes,rct
40606296,mechanistic_translational,no,yes,retrospective_cohort
39448000,clinical_cohort,no,yes,prospective_cohort
34272887,methods_or_review,no,yes,other
30506808,clinical_cohort,no,yes,retrospective_cohort
37887076,clinical_cohort,no,yes,retrospective_cohort
42144087,methods_or_review,no,no,other
20888787,clinical_cohort,no,yes,retrospective_cohort
40232854,mechanistic_translational,no,no,other
23205765,mechanistic_translational,no,no,other
40143912,clinical_cohort,yes,yes,other
19134533,case_report_series,yes,yes,other
27104933,trial,yes,yes,rct
41032890,registry,yes,yes,registry
31301968,clinical_cohort,yes,yes,retrospective_cohort
25777057,clinical_cohort,no,yes,retrospective_cohort
40294109,trial,yes,yes,prospective_cohort
32279657,mechanistic_translational,no,yes,cross_sectional
28546378,methods_or_review,no,no,other
37704161,methods_or_review,no,yes,other
37070996,clinical_cohort,no,yes,prospective_cohort
20632031,mechanistic_translational,no,no,cross_sectional
18765192,clinical_cohort,no,yes,other
15863637,clinical_cohort,no,yes,prospective_cohort
34344623,mechanistic_translational,no,yes,cross_sectional
25819270,methods_or_review,no,no,other
16720207,mechanistic_translational,no,yes,other
38241956,clinical_cohort,no,yes,retrospective_cohort
34587371,trial,yes,yes,rct
23721028,clinical_cohort,no,yes,other
31122726,mechanistic_translational,no,yes,other
33550369,mechanistic_translational,yes,no,other
38792624,clinical_cohort,yes,yes,retrospective_cohort
31900671,methods_or_review,no,no,other
35224623,registry,no,yes,registry
23664760,registry,no,yes,registry
37454870,clinical_cohort,yes,yes,retrospective_cohort
26425619,case_report_series,yes,yes,other
16102441,mechanistic_translational,no,yes,cross_sectional
26339864,clinical_cohort,yes,yes,other
41669771,clinical_cohort,yes,yes,retrospective_cohort
41514232,clinical_cohort,no,yes,prospective_cohort
37295720,mechanistic_translational,no,yes,other
16162195,mechanistic_translational,no,yes,cross_sectional
28038697,case_report_series,yes,yes,other
38044496,clinical_cohort,no,yes,prospective_cohort
28148598,mechanistic_translational,no,yes,prospective_cohort
40437291,clinical_cohort,yes,yes,retrospective_cohort
39441494,clinical_cohort,no,yes,retrospective_cohort
19207186,clinical_cohort,no,yes,retrospective_cohort
30303408,methods_or_review,no,yes,cross_sectional
39524044,mechanistic_translational,yes,no,other
17198242,mechanistic_translational,no,yes,prospective_cohort
34030202,methods_or_review,no,no,other
36639317,clinical_cohort,no,yes,retrospective_cohort
41510176,clinical_cohort,no,yes,retrospective_cohort
21414808,mechanistic_translational,no,yes,prospective_cohort
21163500,mechanistic_translational,yes,no,other
20347338,mechanistic_translational,no,yes,other
18764833,methods_or_review,yes,no,other
42044158,mechanistic_translational,no,no,cross_sectional
17258592,clinical_cohort,no,yes,retrospective_cohort
35146849,mechanistic_translational,no,yes,prospective_cohort
24063316,mechanistic_translational,no,yes,retrospective_cohort
17620461,methods_or_review,no,no,other
17919621,trial,yes,yes,rct
17393239,clinical_cohort,yes,yes,retrospective_cohort
41630968,registry,yes,yes,registry
18047937,mechanistic_translational,no,yes,retrospective_cohort
36049964,registry,no,yes,registry
26261607,mechanistic_translational,no,no,other
20727564,clinical_cohort,no,yes,cross_sectional
37713011,case_report_series,yes,yes,other
41857706,clinical_cohort,no,yes,retrospective_cohort
27469016,registry,no,yes,registry
37937643,mechanistic_translational,no,no,other
17178336,mechanistic_translational,no,yes,prospective_cohort
28017335,registry,no,yes,registry
36189800,mechanistic_translational,yes,no,other
37703908,trial,yes,yes,rct
40669521,mechanistic_translational,no,yes,prospective_cohort
38230743,clinical_cohort,no,yes,retrospective_cohort
18442722,trial,yes,yes,rct
35642887,case_report_series,yes,yes,retrospective_cohort
26452996,trial,yes,yes,rct
41217841,mechanistic_translational,no,yes,other
27737799,mechanistic_translational,no,no,other
19580368,trial,yes,yes,rct
33317956,mechanistic_translational,no,yes,cross_sectional
37866469,registry,no,yes,registry
28296181,clinical_cohort,no,yes,retrospective_cohort
27347307,mechanistic_translational,yes,no,other
36004231,methods_or_review,no,no,other
19912172,methods_or_review,no,yes,other
