pmid,intervention_intent_llm
15707408,treat_clad
15797743,treat_clad
15896756,prevent_clad
16143268,treat_clad
16407509,prevent_clad
17924993,treat_clad
18658110,treat_clad
19134525,prevent_clad
20609595,treat_clad
22922656,prevent_clad
25049068,prevent_clad
25420847,prevent_clad
26372728,prevent_clad
26508727,prevent_clad
26829054,prevent_clad
28186707,treat_clad
28431983,treat_clad
28787506,prevent_clad
29094310,prevent_clad
29151274,prevent_clad
30726919,prevent_clad
31262311,prevent_clad
31452317,prevent_clad
31815320,prevent_clad
31909902,prevent_clad
32449200,prevent_clad
33057713,prevent_clad
33397442,prevent_clad
33956976,prevent_clad
36216086,prevent_clad
37071121,treat_clad
38508486,prevent_clad
38979724,prevent_clad
39455367,prevent_clad
39558551,prevent_clad
40300676,prevent_clad
40686680,prevent_clad
41232942,treat_clad
41325942,prevent_clad
42456799,prevent_clad
