pmid,outcome_role,era,source_format
23328523,primary,pre,pdf
27931586,secondary,pre,pdf
21910727,secondary,pre,pdf
32941392,secondary,post,pdf
25096855,secondary,pre,pdf
32381491,primary,post,pdf
20013099,primary,pre,pdf
18675117,secondary,pre,pdf
20851929,secondary,pre,pdf
39437867,primary,post,pdf
25940517,secondary,pre,pdf
22152000,secondary,pre,pdf
36031951,primary,post,pdf
29637624,primary,pre,pdf
40145037,primary,post,pdf
23328795,primary,pre,pdf
31022070,primary,post,pdf
36695698,secondary,post,pdf
31687369,secondary,post,xml
15636621,primary,pre,pdf
34319850,primary,post,pdf
26452996,primary,pre,pdf
28886227,secondary,pre,pdf
33496558,primary,post,pdf
34078558,secondary,post,pdf
25068264,primary,pre,pdf
25130554,primary,pre,pdf
25533723,primary,pre,pdf
20412963,primary,pre,pdf
32577419,primary,post,xml
36873745,secondary,post,pdf
37778525,secondary,post,pdf
39558551,secondary,post,pdf
19207186,primary,pre,pdf
34895720,primary,post,pdf
16612275,primary,pre,pdf
36849338,primary,post,pdf
16407509,secondary,pre,pdf
22320224,secondary,pre,pdf
18086521,secondary,pre,pdf
35249734,secondary,post,pdf
22621746,secondary,pre,pdf
40881742,primary,post,pdf
38705500,primary,post,pdf
36936442,secondary,post,pdf
41984803,secondary,post,xml
41514232,secondary,post,xml
39381015,secondary,post,pdf
37187736,primary,post,pdf
37389015,primary,post,xml
29571601,primary,pre,pdf
19578518,primary,pre,pdf
24157472,primary,pre,pdf
39571635,primary,post,pdf
29976654,primary,pre,pdf
35224623,secondary,post,pdf
18765192,primary,pre,pdf
29075627,secondary,pre,pdf
27569962,primary,pre,pdf
42163227,primary,post,xml
18337673,primary,pre,pdf
31672218,secondary,post,pdf
15699755,primary,pre,pdf
26169666,secondary,pre,pdf
33717427,secondary,post,xml
18187088,secondary,pre,pdf
30255130,primary,pre,xml
33994181,secondary,post,pdf
30348935,secondary,pre,xml
37499884,secondary,post,pdf
18267228,secondary,pre,pdf
42000481,secondary,post,pdf
26833657,secondary,pre,pdf
39385282,secondary,post,xml
38367738,primary,post,pdf
36677327,secondary,post,xml
21429899,primary,pre,pdf
16570009,secondary,pre,pdf
28992372,secondary,pre,pdf
42404562,secondary,post,pdf
21707593,secondary,pre,pdf
23102913,primary,pre,pdf
26496787,primary,pre,pdf
36639317,primary,post,pdf
15888067,secondary,pre,pdf
38994392,primary,post,pdf
37575951,primary,post,xml
33961136,secondary,post,pdf
41672090,secondary,post,pdf
19580368,secondary,pre,pdf
