Tier,Covariate,Not reported (0),Partial (1),Full (2),Scored only when
A,Indication / diagnosis mix,not stated,"narrative only, no n",n or % per indication,
A,Single vs bilateral,not stated,"stated mixed, no split",n/% single vs bilateral,
A,Era / accrual window,not stated,single year only,explicit start–end transplant dates,
A,Center structure,not stated,"'multicenter', unquantified",n centers (or single-center stated),
A,Sample size & follow-up,not stated,"sample size n reported, OR median FU without dispersion",n AND median FU with dispersion (IQR/range),
A,Donor type DBD/DCD,not stated,"DCD mentioned, no n",n/% DBD vs DCD,
A,EVLP use,not stated,"mentioned, no n",n/% EVLP (or explicitly none),
A,Race / ethnicity,not stated,one group noted / 'predominantly white',distribution by race/ethnicity category with n/%,
B,CMV D/R serostatus *,not stated,recipient-only / 'high-risk n',"D/R matrix (D+/R−, D+/R+, D−/R+, D−/R−) with ns",
B,HLA mismatch *,not stated,"overall/total antigen-mismatch count only (e.g. mean n/6), or a qualitative HLA-matching statement","mismatch reported by locus (≥ A, B, DR); DQ/DP or eplet/molecular detail credited but not required. NB: recipient sensitization (cPRA/PRA) is NOT mismatch — it belongs to pre_tx_dsa",
B,Pre-tx DSA / cPRA,not stated,'sensitized included',cPRA/PRA distribution or DSA n + MFI/spec,
B,De novo DSA,not stated,"mentioned, no incidence",incidence + timing/def (±MFI),
B,Induction regimen,not stated,'induction used',agent(s) + n/% (or none),
B,Maintenance IS *,not stated,'standard triple therapy',"CNI type + antimetabolite + steroid ±mTOR, n/% (dosing NOT required)",
B,ACR burden *,not stated,'treated for rejection',A-grade distribution or ≥A1/A2 rate/freq,
B,AMR *,not stated,mentioned as possible,defined + incidence (pAMR/criteria),
C,PGD grade,not stated,'PGD occurred',PGD grade (ISHLT) distribution / grade-3 rate,
C,CMV infection/disease events,not stated,"'CMV occurred', no def",events with def (viremia vs disease) + n,
C,Respiratory viral infections,not stated,mentioned,n/rate ± organisms/method,
C,Pseudomonas/Aspergillus colonization,not stated,one organism mentioned,organism-specific n/rate + def,
C,GERD / aspiration,not stated,mentioned,n/rate ± dx method or fundoplication n,
C,Azithromycin,not stated,'some received',n/% + indication (prophylaxis vs CLAD-triggered),
D,Telomere length / workup,not stated,"risk acknowledged, no data",telomere length/flow-FISH or TERT/TERC/RTEL1 status for relevant n,fibrotic-ILD/IPF recipients present
D,Pre-tx immunosuppression exposure,not stated,'some on prednisone' narrative,pre-tx corticosteroid/DMARD exposure quantified,CTD-ILD/IPF/sarcoid present
D,Antifibrotic exposure,not stated,mentioned,pirfenidone/nintedanib n + timing to tx,IPF/PF recipients present
D,CNI intra-patient variability,not stated,"troughs reported, no variability metric",IPV metric (CV%/SD) computed,CNI-level scope
D,CYP3A5 pharmacogenomics,not stated,genotyping mentioned,CYP3A5 expressor status + n,PGx substudy scope
D,Non-HLA antibodies,not stated,"mentioned/tested, no results",specific non-HLA Ab (anti-AT1R / anti-Kα1-tubulin / anti-collagen-V / MICA) tested + result/n,
D,Eplet / molecular HLA mismatch,not stated,mentioned,eplet load / PIRCHE-II reported (value or n),HLA typing reported
E,CLAD definition,not stated,"'CLAD' used, no criteria",explicit criteria (2019 ISHLT vs BOS-only vs other) + FEV1 threshold,
E,Phenotyping (BOS/RAS/mixed),not stated,"BOS only, no RAS",phenotype breakdown reported,
E,Reversible/azithromycin-responsive dysfunction excluded,not stated,reversibility mentioned,explicit exclusion of azithromycin-responsive / reversible allograft dysfunction before CLAD diagnosis,
E,CLAD severity staging,not stated,presence only,CLAD stage reported (2019 consensus stage 1-4 / severity grading),
E,Baseline FEV1 method,not stated,'baseline FEV1' undefined,"mean of the two best post-operative values ≥3 weeks apart, or the definition used",
E,Death as competing risk,not stated,mentioned censoring,competing-risk method (or explicit justification),time-to-event analysis of CLAD
E,Follow-up / censoring,not stated,median only,censoring rule + FU completeness,time-to-event analysis of CLAD
